Wall time,Step,Value
1722752652.170697,0,6.990358352661133
1722752664.86698,1,5.723123073577881
1722752677.394511,2,5.550755977630615
1722752689.75109,3,5.396394729614258
1722752702.121042,4,5.2433342933654785
1722752714.505692,5,5.0727949142456055
1722752726.837783,6,4.884847164154053
1722752739.250923,7,4.699395656585693
1722752751.741737,8,4.526840686798096
1722752764.209757,9,4.373945236206055
1722752776.749889,10,4.2206339836120605
1722752789.268004,11,4.081196308135986
1722752801.84876,12,3.9620423316955566
1722752814.506226,13,3.8373539447784424
1722752827.050086,14,3.697282075881958
1722752839.6303,15,3.586428642272949
1722752852.284146,16,3.4792215824127197
1722752864.790429,17,3.3675384521484375
1722752877.355942,18,3.2329742908477783
1722752889.886098,19,3.1229050159454346
1722752902.459394,20,3.0473880767822266
1722752914.953605,21,2.9944725036621094
1722752927.511071,22,2.934231996536255
1722752940.117562,23,2.8591251373291016
1722752952.678844,24,2.787376880645752
1722752965.249287,25,2.7294225692749023
1722752977.866939,26,2.672844648361206
1722752990.427706,27,2.6234042644500732
1722753002.947113,28,2.578490734100342
1722753015.50089,29,2.549079656600952
1722753028.046115,30,2.5198659896850586
1722753040.669184,31,2.456242799758911
1722753053.252765,32,2.3792357444763184
1722753065.91675,33,2.3445651531219482
