,count,mean,min,25%,50%,75%,max,std
OrderDate,1229,2017-01-21 10:50:17.087062528,2015-01-03 00:00:00,2016-01-09 00:00:00,2017-02-04 00:00:00,2018-01-21 00:00:00,2018-12-30 00:00:00,
Sales,1229.0,1838.8614000813668,2.025,377.736,1058.364,2382.958,28106.716,2296.4334714419488
Accessories,1229.0,86.05582942771902,0.0,0.0,0.0,87.4,3347.37,218.09736920289927
Appliances,1229.0,67.74630797396257,0.0,0.0,0.0,26.88,2625.12,217.30407156719824
Art,1229.0,14.016377713200825,0.0,0.0,0.0,13.7728,569.742,34.86541104103842
Binders,1229.0,87.90091866467769,0.0,0.0,8.709,34.7385,6354.95,372.69088586939057
Bookcases,1229.0,75.20703444534853,0.0,0.0,0.0,0.0,4007.84,271.95937796278616
Chairs,1229.0,178.8884300244101,0.0,0.0,0.0,216.31133333333335,3785.292,385.01560693342816
Copiers,1229.0,118.285688364524,0.0,0.0,0.0,0.0,17499.95,892.5342074579846
Envelopes,1229.0,11.757791429346353,0.0,0.0,0.0,0.0,604.656,44.35970445260128
Fasteners,1229.0,2.181468131272037,0.0,0.0,0.0,0.0,93.36,6.919530484201178
Furnishings,1229.0,47.49783387577977,0.0,0.0,0.0,45.696,1336.44,108.57332022549689
Labels,1229.0,8.042733794412802,0.0,0.0,0.0,0.0,629.184,36.99513577469467
Machines,1229.0,126.36572796311366,0.0,0.0,0.0,0.0,9099.93,710.0992868482803
Paper,1229.0,31.585817854236893,0.0,0.0,13.56,38.88,447.84,50.74468140062012
Phones,1229.0,173.50183965283426,0.0,0.0,0.0,206.384,4367.896,365.9035299037874
Storage,1229.0,117.28767152156225,0.0,0.0,0.0,118.14133333333332,2934.33,259.90546295078275
Supplies,1229.0,29.497994304312453,0.0,0.0,0.0,0.0,4912.59,274.728533657506
Tables,1229.0,133.75078986981285,0.0,0.0,0.0,0.0,4297.644,367.7618552068427
Furniture,1229.0,245.66094384045616,0.0,0.0,129.568,344.981,4297.644,352.88220316646544
OfficeSupplies,1229.0,105.0178293975297,0.0,22.96,54.80533333333333,118.81559999999999,2750.015,182.180503544409
Technology,1229.0,309.8837577295388,0.0,0.0,100.302,337.512,17499.95,859.7476162303733
Central,1229.0,122.51432293718956,0.0,0.0,18.049599999999998,128.09199999999998,3667.3480000000004,290.60691077379784
East,1229.0,139.5815195192561,0.0,0.0,33.631,164.62666666666667,3045.0633333333335,280.92149338707605
South,1229.0,114.08245373242164,0.0,0.0,0.0,108.12900000000002,4297.644,286.3982648581713
West,1229.0,146.46905998659267,0.0,0.0,55.92,190.4922,2859.816,257.70639805344894
FirstClass,1229.0,100.32885476485181,0.0,0.0,0.0,84.375,3429.1145,284.64022002608226
SameDay,1229.0,39.39217724354333,0.0,0.0,0.0,0.0,2399.96,160.22179249284002
SecondClass,1229.0,114.99450763480257,0.0,0.0,2.91,120.71799999999999,4416.174,298.9472869924631
StandardClass,1229.0,187.56734796290365,0.0,35.28133333333333,121.28523076923078,245.7527142857143,3066.3633333333332,253.9662176682898
Consumer,1229.0,193.48564207858817,0.0,26.032,100.93633333333332,228.2409090909091,5948.13,360.65024732577933
Corporate,1229.0,147.23393091671915,0.0,0.0,50.18,183.827,3066.3633333333332,270.6190984238399
HomeOffice,1229.0,104.68351244158968,0.0,0.0,0.0,100.24,3359.952,258.01917450460184
