element,sp_num,nm
Ac,2,391.447
Ac,2,406.16
Ac,2,408.844
Ac,2,416.84
Ac,1,417.998
Ac,1,418.312
Ac,1,419.44
Ac,2,420.969
Ac,2,435.913
Ac,1,438.453
Ac,2,438.641
Ac,1,439.671
Ac,3,441.309
Ac,1,446.273
Ac,2,450.72
Ac,3,456.987
Ac,2,460.545
Ac,1,471.658
Ac,2,472.016
Ac,2,481.222
Ac,2,494.518
Ac,2,495.823
Ac,2,496.087
Ac,3,519.321
Ac,2,544.638
Ac,2,573.205
Ac,2,575.897
Ac,2,591.085
Ac,2,616.475
Ac,2,616.783
Ac,2,624.283
Ac,1,635.986
Ac,1,669.127
Ac,1,729.04
Ac,1,786.61
Ag,1,390.741
Ag,2,390.93032
Ag,1,391.44
Ag,2,392.01239
Ag,1,392.753
Ag,1,392.837
Ag,1,394.043
Ag,1,394.29
Ag,2,394.94347
Ag,1,398.158
Ag,2,398.51904
Ag,1,399.168
Ag,1,399.246
Ag,1,405.5476
Ag,1,408.343
Ag,2,408.59155
Ag,2,411.1888
Ag,2,418.54749
Ag,1,421.096
Ag,2,421.15277
Ag,1,421.2814
Ag,2,421.5734
Ag,2,424.0685
Ag,2,424.1574
Ag,1,431.1074
Ag,2,431.351
Ag,2,431.959
Ag,2,433.314
Ag,2,436.416
Ag,2,438.50519
Ag,1,439.623
Ag,2,441.2
Ag,2,443.057
Ag,2,444.919
Ag,1,447.604
Ag,2,447.912
Ag,2,448.858
Ag,2,449.3424
Ag,2,449.494
Ag,2,451.4053
Ag,2,451.552
Ag,2,453.0145
Ag,2,453.039
Ag,2,453.3812
Ag,1,455.552
Ag,1,461.569
Ag,2,462.00358
Ag,2,462.04712
Ag,1,466.8477
Ag,1,467.76
Ag,1,467.76
Ag,2,470.5873
Ag,2,478.83966
Ag,1,479.646
Ag,1,484.782
Ag,1,487.41
Ag,1,488.821
Ag,2,489.1335
Ag,1,491.748
Ag,1,493.575
Ag,2,498.32786
Ag,1,499.286
Ag,2,502.7343
Ag,1,512.35
Ag,2,513.7247
Ag,2,514.28156
Ag,2,519.8171
Ag,1,520.9078
Ag,2,531.24571
Ag,2,531.72122
Ag,2,531.97018
Ag,2,533.25043
Ag,2,534.00267
Ag,2,536.27877
Ag,2,537.38212
Ag,2,539.24686
Ag,2,540.01037
Ag,2,540.31323
Ag,2,541.08114
Ag,2,541.1936
Ag,2,542.40511
Ag,2,544.09099
Ag,1,546.5497
Ag,1,547.1555
Ag,1,547.5376
Ag,2,547.86597
Ag,2,548.81567
Ag,2,549.38309
Ag,2,553.8449
Ag,2,554.32124
Ag,2,555.19265
Ag,2,555.81401
Ag,1,555.954
Ag,2,557.38261
Ag,2,557.96777
Ag,2,558.8417
Ag,2,558.97828
Ag,2,561.06066
Ag,2,561.06066
Ag,2,562.0974
Ag,2,562.24822
Ag,1,566.734
Ag,2,573.4226
Ag,1,608.378
Ag,2,625.5896
Ag,1,626.85
Ag,2,627.9154
Ag,2,633.1275
Ag,2,640.36
Ag,2,650.5747
Ag,1,662.117
Ag,2,669.7223
Ag,2,671.736
Ag,2,689.37
Ag,2,693.9988
Ag,2,699.891
Ag,2,719.85
Ag,2,723.9376
Ag,1,735.996
Ag,2,743.95
Ag,1,768.7772
Ag,2,793.02
Ag,2,795.73
Ag,2,800.51863
Ag,2,802.3
Ag,2,809.63
Ag,2,810.0253
Ag,2,822.477
Ag,2,825.4777
Ag,2,826.2874
Ag,1,827.3509
Ag,2,828.7284
Ag,2,829.78
Al,2,390.0675
Al,1,393.1996
Al,1,393.5677
Al,1,394.40058
Al,1,396.152
Al,3,398.014
Al,3,398.014
Al,2,399.5838
Al,2,399.6075
Al,2,399.6143
Al,2,399.6182
Al,2,399.6323
Al,2,399.637
Al,3,399.8164
Al,3,400.1376
Al,2,400.57
Al,2,400.958
Al,2,402.65
Al,2,405.68
Al,3,408.245
Al,3,408.8611
Al,3,414.237
Al,3,414.237
Al,3,414.9915
Al,3,415.0173
Al,3,415.091
Al,3,415.091
Al,3,415.091
Al,3,418.973
Al,3,418.973
Al,3,418.973
Al,4,419.041
Al,2,422.6813
Al,2,422.6918
Al,2,422.742
Al,2,422.7492
Al,2,422.7545
Al,2,422.7875
Al,2,422.7945
Al,2,422.7999
Al,2,424.0708
Al,1,425.512
Al,2,428.297
Al,2,430.7203
Al,2,433.2
Al,2,434.6866
Al,2,434.6897
Al,2,434.6918
Al,3,435.7562
Al,3,436.4642
Al,4,437.858
Al,4,441.138
Al,2,443.282
